SUB_DIST_C,DISTRICT,STATE,TYPE,NAME,CEN_2001,x,y
Ajmer,Ajmer,Rajasthan,village,GUWARDI,"0811900607091615",74.7179234553,26.4950336425
Ajmer,Ajmer,Rajasthan,village,NAND,"0811900607091601",74.4628777271,26.4742160080
Kishangarh,Ajmer,Rajasthan,village,RAMGARH,"0811900606091408",74.7641947888,26.7770156185
Kishangarh,Ajmer,Rajasthan,village,NAWA,"0811900606091404",74.8131228320,26.7924982791
Kishangarh,Ajmer,Rajasthan,village,JUNDA,"0811900606091434",74.9060961618,26.7979059750
Chohtan,Barmer,Rajasthan,village,MITHRI,"0811500584089043",71.1211381672,24.8268773033
Chohtan,Barmer,Rajasthan,village,NAYA BHOJARIYA,"0811500584088753",70.8021702768,25.5077871694
Siwana,Barmer,Rajasthan,village,KHETASAR,"0811500580087581",72.4566596537,25.6383676079
Siwana,Barmer,Rajasthan,village,KUSIP,"0811500580087536",72.4024753107,25.7119031190
Siwana,Barmer,Rajasthan,village,MUTHLI,"0811500580087522",72.2713996366,25.7062151054
Gudha Malani,Barmer,Rajasthan,village,SARELI KI DHANI,"0811500581087877",71.8894874273,25.6947693569
